month_id,country_id,outcome
457,149,7
458,149,0
459,149,0
460,149,17
461,149,22
462,149,12
463,149,10
464,149,18
465,149,7
466,149,0
467,149,14
468,149,11
469,149,30
470,149,19
471,149,54
472,149,15
473,149,318
474,149,16
475,149,9
476,149,52
477,149,11
478,149,16
479,149,5
480,149,18
481,149,12
482,149,7
483,149,47
484,149,46
485,149,23
486,149,20
487,149,8
488,149,12
489,149,9
490,149,9
491,149,4
492,149,0
493,149,0
494,149,1
495,149,41
496,149,94
497,149,193
498,149,74
499,149,181
500,149,72
501,149,115
502,149,52
503,149,147
504,149,103
505,149,181
506,149,213
507,149,172
508,149,151
509,149,134
510,149,110
511,149,152
512,149,216
513,149,143
514,149,286
515,149,194
516,149,102
517,149,143
518,149,128
519,149,200
520,149,344
521,149,134
522,149,218
523,149,151
524,149,171
525,149,179
526,149,141
527,149,402
528,149,302
529,149,256
530,149,162
531,149,213
532,149,105
